published_date,stock_ticker,vic_url,Company,published_price,current_price,delta_from_publish
2022-04-15,LTH,https://www.valueinvestorsclub.com/idea/LIFE_TIME_GRP_HOLD_INC/8092606646,Life Time Group Holdings Inc,15.34,13.72,-0.11
2022-04-15,STAF,https://www.valueinvestorsclub.com/idea/STAFFING_360_SOLUTIONS_INC/7948860657,Staffing 360 Solutions Inc,0.73,0.78,0.07
2022-04-13,OSG,https://www.valueinvestorsclub.com/idea/OVERSEAS_SHIPHOLDING_GROUP/4239204331,Overseas Shipholding Group Inc.,2.2,2.13,-0.03
2022-04-13,PINS,https://www.valueinvestorsclub.com/idea/PINTEREST_INC/6702599870,Pinterest Inc,22.5,18.42,-0.18
2022-04-13,TSCO,https://www.valueinvestorsclub.com/idea/TRACTOR_SUPPLY_CO/8190364694,Tractor Supply Co,236.69,195.39,-0.17
2022-04-13,VVNT,https://www.valueinvestorsclub.com/idea/VIVINT_SMART_HOME_INC/0458107475,Vivint Smart Home Inc,5.36,3.96,-0.26
2022-04-12,SNC,https://www.valueinvestorsclub.com/idea/SNC-LAVALIN_GROUP_INC/9512949727,Snc-Lavalin Group Inc,29.11,22.68,-0.22
2022-04-12,CASY,https://www.valueinvestorsclub.com/idea/CASEYS_GENERAL_STORES_INC/8455937910,Casey's General Stores Inc,207,184.25,-0.11
2022-04-11,PH,https://www.valueinvestorsclub.com/idea/Parker_Hannifin/6307136074,Parker-Hannifin Corp,276.36,241.9,-0.12
2022-04-10,SHYF,https://www.valueinvestorsclub.com/idea/THE_SHYFT_GROUP_INC/3410068751,Shyft Group Inc,30.13,19.2,-0.36
2022-04-10,CNNE,https://www.valueinvestorsclub.com/idea/CANNAE_HOLDINGS_INC/2985573646,Cannae Holdings Inc,24.18,18.58,-0.23
2022-04-09,HME,https://www.valueinvestorsclub.com/idea/HEMISPHERE_ENERGY_CORP/7679696744,Hemisphere Energy Corp,1.52,1.72,0.13
2022-04-07,GFM,https://www.valueinvestorsclub.com/idea/Griffin_Mining/6501453400,Griffin Mining Ltd,1.5,93.35,61.23
2022-04-06,PMZ.UN,https://www.valueinvestorsclub.com/idea/PRIMARIS_REAL_ESTA_INV_TRUST/2619193009,Primaris Real Estate Investment Trust,14.73,12.68,-0.14
2022-04-06,ZIM,https://www.valueinvestorsclub.com/idea/ZIM_INTEGRATED_SHIPP_SER_LTD/3187509604,ZIM Integrated Shipping Services Ltd,57.44,51.33,-0.11
2022-04-06,ATRO,https://www.valueinvestorsclub.com/idea/ASTRONICS_CORP/5701643591,Astronics Corporation,11.5,10.97,-0.05
2022-04-05,SNPO,https://www.valueinvestorsclub.com/idea/SNAP_ONE_HOLDINGS_CORP/4398667451,Snap One Holdings Corp,14.01,10.78,-0.23
2022-04-05,SCHP,https://www.valueinvestorsclub.com/idea/Schindler_Holding_AG/3711355153,Schwab US TIPS ETF,195.1,55.99,-0.71
2022-04-05,PMTS,https://www.valueinvestorsclub.com/idea/CPI_CARD_GROUP_INC/5930792130,CPI Card Group Inc,15,13.77,-0.08
2022-04-05,IAC,https://www.valueinvestorsclub.com/idea/IACINTERACTIVECORP/8511974347,IAC/Interactivecorp,102.75,77.26,-0.25
2022-04-05,PKOH,https://www.valueinvestorsclub.com/idea/IACINTERACTIVECORP/85119743477,Park-Ohio Holdings Corp.,83,15.58,-0.81
2022-04-04,BABA,https://www.valueinvestorsclub.com/idea/ALIBABA_GROUP_HLDG/3673854618,Alibaba Group Holding Ltd - ADR,117,106.39,-0.09
2022-04-04,ARCE,https://www.valueinvestorsclub.com/idea/ARCO_PLATFORM_LTD/1750999394,Arco Platform Ltd,21.09,14.02,-0.34
2022-04-04,FEC,https://www.valueinvestorsclub.com/idea/FRONTERA_ENERGY_CORP/3023911418,Frontera Energy Corp,11.37,11.41,0.00
2022-04-04,TYMN,https://www.valueinvestorsclub.com/idea/Tyman_PLC/1422434007,Tyman PLC,325,245.5,-0.24
2022-04-03,TELL,https://www.valueinvestorsclub.com/idea/TELLURIAN_INC/2905492857,Tellurian Inc,6.34,3.68,-0.42
2022-04-01,AMPY,https://www.valueinvestorsclub.com/idea/AMPLIFY_ENERGY_CORP/9369544691,Amplify Energy Corp,5.6,7.59,0.36
2022-03-31,IRM,https://www.valueinvestorsclub.com/idea/IRON_MOUNTAIN_INC/7601882020,Iron Mountain Inc,55.41,47.19,-0.15
2022-03-31,TCS,,Container Store Group Inc,8.12,7.08,-0.13
2022-03-31,PRTY,,Party City Holdco Inc,3.65,1.44,-0.61
2022-03-31,GE,,General Electric Company,92,65.75,-0.29
2022-03-30,DOOR,,Masonite International Corp,90,72.38,-0.20
2022-03-30,BWV,,Blue Water Vaccines Inc,54,2.36,-0.96
2022-03-30,SLCRW,,Silver Crest Acquisition,9.84,0.22,-0.98
2022-03-30,OXY,,Occidental Petroleum Corporation,58,57.87,0.00
2022-03-30,ROST,,"Ross Stores, Inc.",93.7,75.1,-0.20
2022-03-30,PEGA,,Pegasystems Inc.,81,46.85,-0.42
2022-03-29,SPOT,,Spotify Technology SA,,101.4,#DIV/0!
,HIBB,,Hibbett Inc,,48.02,#DIV/0!
,,,#N/A,,#N/A,#N/A
2022-03-07,ZOMD,https://www.valueinvestorsclub.com/idea/ZOOMD_TECHNOLOGIES_LTD/6652248203,Zoomd Technologies Ltd,0.38,0.39,0.03
2022-03-07,CEM,https://www.valueinvestorsclub.com/idea/SALESFORCE.COM_INC/9911419632,Clearbridge MLP and Midstream Fund Inc,203.01,29.72,-0.85
2022-03-07,ASX:PBH,https://www.valueinvestorsclub.com/idea/PointsBet_Holdings_Limited/4656100062,Pointsbet Holdings Ltd,3.99,2.7,-0.32
2022-03-07,POLY,https://www.valueinvestorsclub.com/idea/Polymetal/1504441466,Plantronics Inc,172.5,39.62,-0.77
2022-03-07,ENGH,https://www.valueinvestorsclub.com/idea/ENGHOUSE_SYSTEMS_LTD/3506363054,ENERGY HBR Ord Shs,34.79,67.75,0.95
2022-03-07,HCP,https://www.valueinvestorsclub.com/idea/HASHICORP_INC/4247799482,HashiCorp Inc,39,29.14,-0.25
2022-03-06,COTY,https://www.valueinvestorsclub.com/idea/COTY_INC/4018250796,Coty Inc,8.12,7.37,-0.09
2022-03-06,BABA,https://www.valueinvestorsclub.com/idea/ALIBABA_GROUP_HLDG/2158394964,Alibaba Group Holding Ltd - ADR,100.6,106.39,0.06
2022-03-06,VRT,https://www.valueinvestorsclub.com/idea/VERTIV_HOLDINGS_CO/5437616925,Vertiv Holdings Co,10.57,9.19,-0.13
2022-03-06,CIVI,https://www.valueinvestorsclub.com/idea/CIVITAS_RESOURCES_INC/2165125733,Civitas Resources Inc,57.61,62.57,0.09
2022-03-05,WINE,https://www.valueinvestorsclub.com/idea/Naked_Wines/0151921045,Naked Wines PLC,3.82,279.5,72.17
2022-03-05,THRY,https://www.valueinvestorsclub.com/idea/THRYV_HOLDINGS_INC/1442009788,Thryv Holdings Inc,27.46,23.76,-0.13
2022-03-05,FRG,https://www.valueinvestorsclub.com/idea/FRANCHISE_GROUP_INC/1289375954,Franchise Group Inc,41.85,35.79,-0.14
2022-03-04,COV,https://www.valueinvestorsclub.com/idea/COVALON_TECHNOLOGIES_LTD/2898521031,Covalon Technologies Ltd,2.2,2.63,0.20
2022-03-04,AG1,https://www.valueinvestorsclub.com/idea/Auto1_Group_SE/6559612238,AUTO1 GROUP SE,11,7.24,-0.34
2022-03-02,GNRS,https://www.valueinvestorsclub.com/idea/GREENROSE_ACQUISITION_CORP/9545241183,Greenrose Holding Company Inc,3.94,2.15,-0.45
2022-03-02,SPWH,https://www.valueinvestorsclub.com/idea/SPORTSMANS_WAREHOUSE_HLDGS/5989751684,Sportsman's Warehouse Holdings Inc,11.78,9.8,-0.17
2022-03-02,SHLX,https://www.valueinvestorsclub.com/idea/SHELL_MIDSTREAM_PARTNERS_LP/0108938811,Shell Midstream Partners LP,13.9,14,0.01
2022-03-02,IMPP,https://www.valueinvestorsclub.com/idea/imperial__petroleum_inc./3636286405,Imperial Petroleum Inc,1.48,0.55,-0.63
2022-03-01,TEVA,https://www.valueinvestorsclub.com/idea/TEVA_PHARMACEUTICALS/8570535709,Teva Pharmaceutical Industries Ltd,7.83,7.68,-0.02
2022-03-01,WIX,https://www.valueinvestorsclub.com/idea/WIX.COM_LTD/5779042727,Wix.Com Ltd,86.66,60.16,-0.31
2022-03-01,SWCH,https://www.valueinvestorsclub.com/idea/SWITCH_INC/6770166631,Switch Inc,26,33.13,0.27
2022-03-01,DNUT,https://www.valueinvestorsclub.com/idea/KRISPY_KREME_INC/9560219175,Krispy Kreme Inc,14.48,13.12,-0.09
2022-02-28,ENT,https://www.valueinvestorsclub.com/idea/Entain/3758148163,Entain PLC,16.84,1311,76.85
2022-02-28,SWMA,https://www.valueinvestorsclub.com/idea/Swedish_Match/1407579319,Swedish Match AB,69.34,100.85,0.45
2022-02-28,DHER,https://www.valueinvestorsclub.com/idea/Delivery_Hero_AG/0580029270,Delivery Hero SE,44.26,34,-0.23
2022-02-28,IPA,https://www.valueinvestorsclub.com/idea/IMMUNOPRECISE_ANTIBODIES_LTD/4381289403,Immunoprecise Antibodies Ltd,4.8,4.6,-0.04
2022-02-28,COMP,https://www.valueinvestorsclub.com/idea/COMPASS_INC/8999229342,Compass Inc,7.57,3.98,-0.47
